Nome,Nivel,Trofeus,Papel
carlinho,13,6247,member
♣️♣️FELIPE♣️♣️,13,6206,elder
crauser,12,6026,member
XOL∆,12,6010,member
CTR LS,12,5873,member
DARK LUCAS,12,5835,member
Isaac Monteiro,13,5800,member
> StaR LorD <™,12,5688,member
MARADONA,12,5670,member
ZScarbloodX,13,5663,member
Usopp,13,5656,member
¤☆M@rco$.S,11,5634,member
Jefrey,12,5618,elder
sinara,13,5589,elder
alfa zero,12,5572,member
Luiz Ângelo,12,5555,member
ninão,12,5548,member
isaelmoreirah 2,12,5534,member
TilapiaNoEspeto,13,5522,member
Chuck Norris,13,5511,member
Dedboy,13,5509,member
Rimax,13,5495,member
vingador v,12,5437,member
isaelmoreirah,12,5424,member
lulalivre,12,5414,elder
lela,12,5408,member
kiko2k,12,5406,member
嵐 Arashi エリック,12,5368,member
The King™,11,5368,member
Blackham,12,5340,elder
Marcelo,11,5328,member
⚡H E N R Y⚡,12,5326,elder
MeuVizinho,11,5316,member
Denner,12,5279,member
MavericK®,13,5277,leader
Ezequiel thg,13,5261,coLeader
poney,12,5233,member
deko,11,5205,member
CheiraMeuSuvaco,11,5193,member
CTR LS,11,5191,member
MysterJean,12,5169,elder
KingCris,12,5141,member
Jr. Fênix,12,5109,elder
Lord Akira,12,5086,member
Leo,11,5031,member
Xablau,11,4740,member
LombraMen,11,4730,member
